name,model,price,country,mileage,registration,transmission,power,fueltype,Citigo,Enyaq iV,Fabia,Kamiq,Karoq,Kodiaq,Octavia,Rapid,Scala,Superb,Yeti,Automat,Manuál,Benzín,CNG,Diesel,Elektřina,Hybrid,LPG,Ostatní paliva
Skoda Scala 110 kW,Scala,623990,Německo,24900,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 1.4 TSI Tec ACT 115 kW,Superb,1036490,Německo,2000,2021,Automat,115,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Octavia 2.0l TDI DSG 4x4 147 kW,Octavia,957490,Německo,29447,2021,Automat,147,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Scala 1.6 TDI DSG Ambition 85 kW,Scala,541490,Itálie,11948,2021,Automat,85,Diesel,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW,Kodiaq,1195490,Německo,42400,2020,Automat,176,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Yeti 1.4 TSI Green Tec Style 93 kW,Yeti,392990,Švédsko,78280,2016,Automat,93,Benzín,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TDI DSG Ambition 110 kW,Kodiaq,649990,Německo,68000,2018,Automat,110,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Citigo 1.0 MPI Active 44 kW,Citigo,115990,Německo,115000,2015,Manuál,44,Benzín,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1216490,Německo,25619,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.0 TSI 85 kW,Karoq,422990,Francie,31975,2018,Manuál,85,Benzín,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,828990,Německo,1900,2022,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala Ambition 110 kW,Scala,530990,Německo,21287,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 4x4 DSG RS 176 kW,Kodiaq,1293990,Německo,37711,2020,Automat,176,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Superb 2.0 TDI DSG Ambition 140 kW,Superb,698490,Německo,63552,2019,Automat,140,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 2.0 TDI 4x4 DSG 110 kW,Octavia,488990,Švédsko,140000,2018,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 110 kW,Octavia,439490,Polsko,57664,2018,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,700990,Německo,19987,2021,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Scala Ambition 110 kW,Scala,494490,Německo,9766,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia TDI 85 kW,Octavia,612990,Francie,8000,2021,Manuál,85,Diesel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1057990,Německo,26400,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 150 kW,Octavia,980490,Francie,5000,2021,Automat,150,Hybrid,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
Skoda Octavia 2.0l TDI DSG 4x4 147 kW,Octavia,982490,Německo,18600,2021,Automat,147,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq 147 kW,Kodiaq,1177990,Německo,6291,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,740490,Španělsko,25500,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Kodiaq 2.0 TSI ACT 4x4 DSG Ambition 140 kW,Kodiaq,1007990,Německo,17190,2021,Automat,140,Benzín,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Rapid 1.0 TSI Green Tec Clever 82 kW,Rapid,310990,Švédsko,51660,2018,Manuál,82,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,1087990,Německo,29999,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 1.6 TDI Clever 85 kW,Octavia,377490,Francie,80253,2018,Manuál,85,Diesel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Kamiq 1.5 TSI DSG Scoutline 110 kW,Kamiq,612990,Francie,19122,2021,Automat,110,Benzín,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW,Superb,590490,Německo,27709,2019,Manuál,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Octavia 1.6 TDI Green Tec Active 85 kW,Octavia,305990,Slovensko,65192,2017,Manuál,85,Diesel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Superb 147 kW,Superb,1032490,Německo,26800,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Kodiaq Style 147 kW,Kodiaq,1173990,Německo,1000,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Rapid 1.0 TSI Clever 81 kW,Rapid,357990,Německo,60400,2018,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Rapid 81 kW,Rapid,218490,Polsko,151366,2017,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kamiq 1.5 TSI DSG Style 110 kW,Kamiq,637990,Francie,4850,2021,Automat,110,Benzín,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Kamiq 1.5 TSI DSG Scoutline 110 kW,Kamiq,612990,Francie,19968,2021,Automat,110,Benzín,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Octavia 2.0 TDI Green Tec Joy 110 kW,Octavia,407990,Itálie,131707,2018,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 1.5 TSI ACT 110 kW,Octavia,547990,Německo,31644,2020,Manuál,110,Benzín,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Kodiaq Style 147 kW,Kodiaq,948490,Švédsko,41000,2021,Automat,147,Diesel,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,752490,Německo,25687,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Fabia 1.4 TDI Style 77 kW,Fabia,194990,Německo,110451,2015,Manuál,77,Diesel,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Scala Ambition 110 kW,Scala,520990,Německo,17150,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Octavia 2.0 TDI Green Tec Style 110 kW,Octavia,449990,Německo,92800,2017,Manuál,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Rapid 81 kW,Rapid,286990,Polsko,65846,2017,Manuál,81,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb Combi 2.0 TDI Green Tec Business Edition 110 kW,Superb,598490,Německo,26949,2019,Manuál,110,Diesel,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
Skoda Superb 2.0 TDI DSG Ambition 140 kW,Superb,770490,Německo,49979,2019,Automat,140,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG Ambition 110 kW,Karoq,768490,Německo,25470,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 1.0 TSI 81 kW,Scala,483990,Španělsko,17959,2021,Manuál,81,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Rapid 1.6 TDI Tec Joy 85 kW,Rapid,269490,Německo,139465,2016,Manuál,85,Diesel,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
Skoda Superb 110 kW,Superb,479990,Polsko,81162,2018,Automat,110,Benzín,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
Skoda Karoq 1.5 TSI ACT DSG 110 kW,Karoq,764990,Francie,5000,2021,Automat,110,Benzín,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Skoda Scala 110 kW,Scala,594990,Lucembursko,9200,2020,Manuál,110,Benzín,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Skoda Rapid 70 kW,Rapid,233990,Polsko,135993,2018,Manuál,70,Benzín,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
Skoda Superb 147 kW,Superb,1112490,Německo,29628,2021,Automat,147,Diesel,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Skoda Octavia 2.0 TDI Green Tec Joy 110 kW,Octavia,747490,Itálie,18000,2020,Automat,110,Diesel,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
